Name,userID,Age,MaritalStatus,Password,AppliedProject,ApplicantStatus,BookedFlatType
John,S1234567A,35,SINGLE,password,,UNSUCCESSFUL,DEFAULT
Sarah,T7654321B,40,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Grace,S9876543C,37,MARRIED,password,,UNSUCCESSFUL,DEFAULT
James,T2345678D,30,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Rachel,S3456789E,25,SINGLE,password,,UNSUCCESSFUL,DEFAULT
Knight,T7460923B,34,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Grimes,S2781245G,33,SINGLE,password,,UNSUCCESSFUL,DEFAULT
Oakley,S9696201J,32,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Tanisha,S5120450F,21,SINGLE,password,,UNSUCCESSFUL,DEFAULT
Kayleigh,S6533598J,23,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Ivy,T9626593F,20,SINGLE,password,,UNSUCCESSFUL,DEFAULT
Ricky,T2813663Z,19,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Floyd,S9446645H,35,SINGLE,password,,UNSUCCESSFUL,DEFAULT
Blackburn,T9695428F,47,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Brooke,T8728897H,32,SINGLE,password,,UNSUCCESSFUL,DEFAULT
Darius,S8507700G,31,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Milton,T9059080D,56,SINGLE,password,,UNSUCCESSFUL,DEFAULT
Anya,S5026680Z,46,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Myah,T5720163J,23,SINGLE,password,,UNSUCCESSFUL,DEFAULT
Leyla,T3013336F,34,MARRIED,password,,UNSUCCESSFUL,DEFAULT
Nellie,T3367514C,33,SINGLE,password,,UNSUCCESSFUL,DEFAULT
