Name,userID,Age,MaritalStatus,Password,AppliedProject,ApplicantStatus,BookedFlatType,ManagedProject,OfficerStatus
Daniel,T2109876H,36,SINGLE,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
David,T1234567J,29,MARRIED,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
Emily,S6543210I,28,SINGLE,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
Jeffrey,T3414333H,60,MARRIED,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
Clements,T5886897Z,55,SINGLE,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
Elissa,S5149758I,45,MARRIED,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
Aleeza,T4599840H,65,SINGLE,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
Arianna,S4935509B,67,MARRIED,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
Martin,T0417322D,63,SINGLE,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
Amanda,S5977875G,32,MARRIED,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
Roman,T1311313G,29,SINGLE,password,,UNSUCCESSFUL,DEFAULT,,UNSUCCESSFUL
